accession	monosaccharide
G00428HK	dHex
G00430ZK	Fuc
G00430ZK	Gal
G00430ZK	GalNAc
G00430ZK	GlcNAc
G00430ZK	Hex
G00430ZK	HexNAc
G00430ZK	NeuAc
G00430ZK	Sia
G00430ZK	dHex
G00432WV	Fuc
G00432WV	Gal
G00432WV	GlcNAc
G00432WV	Hex
G00432WV	HexNAc
G00432WV	Man
G00432WV	dHex
G00433KW	Glc
G00433KW	GlcNAc
G00433KW	Hex
G00433KW	HexNAc
G00433KW	Man
G00433UK	Hex
G00433UK	HexNAc
G00433UK	NeuAc
G00433UK	NeuGc
G00433UK	Sia
G00433UK	dHex
G00435KX	Fuc
G00435KX	Gal
G00435KX	GlcNAc
G00435KX	Hex
G00435KX	HexNAc
G00435KX	dHex
G00438EF	Fuc
G00438EF	Gal
G00438EF	GlcNAc
G00438EF	Hex
G00438EF	HexNAc
G00438EF	Man
G00438EF	dHex
G00449DS	Gal
G00449DS	GlcNAc
G00449DS	Hex
G00449DS	HexNAc
G00449DS	Man
G00449DS	NeuAc
G00449DS	Sia
G00450EO	Fuc
G00450EO	Gal
G00450EO	GlcNAc
G00450EO	GlcNAc+aldi
G00450EO	Hex
G00450EO	HexNAc
G00450EO	HexNAc+aldi
G00450EO	Man
G00450EO	NeuAc
G00450EO	Sia
G00450EO	aldi
G00450EO	dHex
G00451UT	Fuc
G00451UT	Gal
G00451UT	GlcNAc
G00451UT	Hex
G00451UT	HexNAc
G00451UT	Man
G00451UT	NeuAc
G00451UT	Sia
G00451UT	dHex
G00454PR	Gal
G00454PR	Glc
G00454PR	Hex
G00457KD	Fuc
G00457KD	Gal
G00457KD	Hex
G00457KD	Xxx
G00457KD	dHex
G00458CW	Fuc
G00458CW	Gal
G00458CW	GlcNAc
G00458CW	Hex
G00458CW	HexNAc
G00458CW	NeuAc
G00458CW	Sia
G00458CW	dHex
G00459BD	Fuc
G00459BD	Gal
G00459BD	GlcNAc
G00459BD	Hex
G00459BD	HexNAc
G00459BD	Man
G00459BD	NeuAc
G00459BD	Sia
G00459BD	dHex
G00459HM	Gal
G00459HM	GalNAc
G00459HM	Glc
G00459HM	Hex
G00459HM	HexNAc
G00459HM	NeuAc
G00459HM	Sia
G00461RR	Hex
G00461RR	HexNAc
G00461RR	HexNAc+aldi
G00461RR	NeuAc
G00461RR	S
G00461RR	Sia
G00461RR	aldi
G00461RR	dHex
G00461ZN	Glc
G00461ZN	Hex
G00463XD	Fuc
G00463XD	GlcNAc
G00463XD	Hex
G00463XD	HexNAc
G00463XD	Man
G00463XD	dHex
G00467QU	Fuc
G00467QU	Gal
G00467QU	GalNAc
G00467QU	GalNAc+aldi
G00467QU	GlcNAc
G00467QU	Hex
G00467QU	HexNAc
G00467QU	HexNAc+aldi
G00467QU	aldi
G00467QU	dHex
G00468KU	GlcNAc
G00468KU	Hex
G00468KU	HexNAc
G00468KU	Man
G00468NI	Gal
G00468NI	GalNAc
G00468NI	GlcNAc
G00468NI	Hex
G00468NI	HexNAc
G00468NI	NeuGc
G00468NI	Sia
G00469BS	Fuc
G00469BS	GalNAc
G00469BS	GlcNAc
G00469BS	Hex
G00469BS	HexNAc
G00469BS	Man
G00469BS	dHex
G00470UO	Fuc
G00470UO	GalNAc
G00470UO	GlcNAc
G00470UO	Hex
G00470UO	HexNAc
G00470UO	Man
G00470UO	dHex
G00480KJ	Fuc
G00480KJ	Gal
G00480KJ	GlcNAc
G00480KJ	Hex
G00480KJ	HexNAc
G00480KJ	Man
G00480KJ	NeuAc
G00480KJ	Sia
G00480KJ	dHex
G00482HJ	GlcNAc
G00482HJ	GlcNAc+aldi
G00482HJ	Hex
G00482HJ	HexNAc
G00482HJ	HexNAc+aldi
G00482HJ	Man
G00482HJ	aldi
G00483IX	Gal
G00483IX	Glc
G00483IX	Hex
G00484ZC	Fuc
G00484ZC	GlcNAc
G00484ZC	Hex
G00484ZC	HexNAc
G00484ZC	Man
G00484ZC	dHex
G00487XO	Glc
G00487XO	GlcNAc
G00487XO	Hex
G00487XO	HexNAc
G00487XO	Man
G00488OU	Fuc
G00488OU	Gal
G00488OU	GlcNAc
G00488OU	Hex
G00488OU	HexNAc
G00488OU	Man
G00488OU	dHex
G00490MQ	Fuc
G00490MQ	Hex
G00490MQ	HexNAc
G00490MQ	dHex
G00492CQ	Fuc
G00492CQ	GlcNAc
G00492CQ	Hex
G00492CQ	HexNAc
G00492CQ	Man
G00492CQ	dHex
G00492PO	Fuc
G00492PO	Hex
G00492PO	HexNAc
G00492PO	dHex
G00503EE	Fuc
G00503EE	Gal
G00503EE	GlcNAc
G00503EE	Hex
G00503EE	HexNAc
G00503EE	Man
G00503EE	dHex
G00504PK	Fuc
G00504PK	Gal
G00504PK	GlcNAc
G00504PK	Hex
G00504PK	HexNAc
G00504PK	Man
G00504PK	dHex
G00504PZ	Gal
G00504PZ	GlcNAc
G00504PZ	GlcNAc+aldi
