NCBI TaxID	Scientific Name	Common Name	Rank	Aggr	GlyTouCan	GlyCosmos	GlyConnect	GlyGen	Total
3623	Actinidiaceae	Chinese gooseberry family	family	as annotated	0	1	0	0	1
3625	Actinidia chinensis	zhong hua mi hou tao	species	as annotated	0	2	21	2	23
3629	Malvaceae	mallow family	family	as annotated	0	5	0	0	5
3635	Gossypium hirsutum	American upland cotton	species	as annotated	0	4	0	0	4
3649	Carica papaya	mamon	species	as annotated	0	13	22	13	35
3650	Cucurbitaceae	cucumber family	family	as annotated	0	9	0	1	9
3656	Cucumis melo	Oriental melon	species	as annotated	0	1	0	0	1
3659	Cucumis sativus	cucumbers	species	as annotated	0	2	0	0	2
3660	Cucurbita	squashes	genus	as annotated	0	2	0	0	2
3663	Cucurbita pepo		species	as annotated	0	1	1	1	2
3665	Cucurbita melopepo		species	as annotated	1	1	4	1	5
3673	Momordica charantia	bitter gourd	species	as annotated	0	3	3	2	6
3674	Momordica cochinchinensis		species	as annotated	0	4	0	0	4
3689	Populus	poplar trees	genus	as annotated	0	3	0	0	3
3693	Populus tremuloides		species	as annotated	0	1	0	0	1
3702	Arabidopsis thaliana	thale-cress	species	as annotated	0	7	16	32	32
3704	Armoracia rusticana	horseradish	species	as annotated	1	7	11	7	17
3708	Brassica napus	rapeseeds	species	as annotated	0	6	0	6	6
3711	Brassica rapa		species	as annotated	0	1	2	1	3
3715	Brassica oleracea var. botrytis	cauliflower	varietas	as annotated	0	0	18	0	18
3724	Matthiola incana		species	as annotated	0	1	0	1	1
3726	Raphanus sativus		species	as annotated	0	4	0	0	4
3735	Moringa oleifera	maranga	species	as annotated	0	2	0	0	2
3743	Synsepalum dulcificum	sweet berry	species	as annotated	0	14	5	6	19
3747	Fragaria x ananassa		species	as annotated	0	1	18	1	19
3749	Malus		genus	as annotated	0	25	0	3	25
3750	Malus domestica	cultivated apple	species	as annotated	0	29	21	3	50
3754	Prunus		genus	as annotated	0	1	0	1	1
3755	Prunus dulcis	sweet almond	species	as annotated	0	2	16	2	18
3760	Prunus persica		species	as annotated	0	3	0	1	3
3764	Rosa		genus	as annotated	0	4	0	0	4
3803	Fabaceae	pea family	family	as annotated	0	12	0	7	12
3808	Acacia		genus	as annotated	0	4	0	2	4
3812	Albizia		genus	as annotated	0	1	0	0	1
3813	Albizia julibrissin		species	as annotated	0	5	0	0	5
3815	Abrus		genus	as annotated	0	1	0	0	1
3816	Abrus precatorius	rosary pea	species	as annotated	0	9	0	8	9
3818	Arachis hypogaea	ground-nut	species	as annotated	0	3	14	0	17
3821	Cajanus cajan		species	as annotated	0	1	0	0	1
3823	Canavalia ensiformis	horse bean	species	as annotated	0	3	3	3	6
3827	Cicer arietinum	garbanzo	species	as annotated	0	4	0	3	4
3828	Crotalaria		genus	as annotated	0	11	0	1	11
