accession	monosaccharide	count
G00313OR	Hex	5
G00313OR	HexNAc	1
G00313OR	HexNAc+aldi	1
G00313OR	aldi	1
G00318AV	*	12
G00318AV	Fuc	1
G00318AV	Gal	2
G00318AV	GlcNAc	4
G00318AV	Hex	5
G00318AV	HexNAc	4
G00318AV	Man	3
G00318AV	NeuAc	2
G00318AV	Sia	2
G00318AV	dHex	1
G00320ZP	*	12
G00320ZP	Gal	2
G00320ZP	GlcNAc	4
G00320ZP	Hex	5
G00320ZP	HexNAc	4
G00320ZP	Man	3
G00320ZP	NeuAc	3
G00320ZP	Sia	3
G00325UK	*	15
G00325UK	Fuc	1
G00325UK	Gal	2
G00325UK	GalNAc	1
G00325UK	GlcNAc	6
G00325UK	Hex	5
G00325UK	HexNAc	7
G00325UK	Man	3
G00325UK	NeuAc	2
G00325UK	Sia	2
G00325UK	dHex	1
G00328CG	*	12
G00328CG	Gal	2
G00328CG	GlcNAc	4
G00328CG	Hex	5
G00328CG	HexNAc	4
G00328CG	Man	3
G00328CG	NeuAc	3
G00328CG	Sia	3
G00328HB	*	7
G00328HB	GlcNAc	2
G00328HB	Hex	5
G00328HB	HexNAc	2
G00328HB	Man	5
G00331XG	*	13
G00331XG	Fuc	1
G00331XG	Gal	4
G00331XG	GlcNAc	5
G00331XG	GlcNAc+aldi	1
G00331XG	Hex	7
G00331XG	HexNAc	5
G00331XG	HexNAc+aldi	1
G00331XG	Man	3
G00331XG	aldi	1
G00331XG	dHex	1
G00335DM	*	8
G00335DM	GlcNAc	2
G00335DM	Hex	6
G00335DM	HexNAc	2
G00335DM	Man	6
G00335JE	*	5
G00335JE	Gal	2
G00335JE	GalNAc	1
G00335JE	GlcNAc	1
G00335JE	Hex	2
G00335JE	HexNAc	2
G00335JE	NeuGc	1
G00335JE	Sia	1
G00335TI	*	6
G00335TI	Hex	3
G00335TI	HexNAc	3
G00336XG	*	8
G00336XG	Gal	4
G00336XG	Glc	1
G00336XG	GlcNAc	3
G00336XG	Hex	5
G00336XG	HexNAc	3
G00338CG	*	3
G00338CG	Gal	1
G00338CG	Glc	1
G00338CG	Hex	2
G00338CG	NeuGc	1
G00338CG	Sia	1
G00338CG	X	1
G00349CA	*	11
G00349CA	Gal	1
G00349CA	GlcNAc	5
G00349CA	Hex	6
G00349CA	HexNAc	5
G00349CA	Man	5
G00361YF	*	9
G00361YF	GlcNAc	6
G00361YF	Hex	3
