GlyTouCanAccession	ChEBIAccession
G05921XS	CHEBI:146891
G05948HK	CHEBI:146893
G05952XV	CHEBI:146894
G05964BT	CHEBI:146897
G05976VO	CHEBI:146898
G05979QC	CHEBI:146901
G05979RR	CHEBI:146902
G05979UI	CHEBI:156945
G06000DZ	CHEBI:60948
G06017WG	CHEBI:146905
G06022SA	CHEBI:146906
G06028TI	CHEBI:146908
G06031DD	CHEBI:146910
G06036CF	CHEBI:146912
G06055JA	CHEBI:146915
G06059DJ	CHEBI:146917
G06067KZ	CHEBI:146921
G06087PM	CHEBI:146923
G06100IY	CHEBI:146924
G06107FU	CHEBI:146927
G06131VP	CHEBI:146928
G06141RV	CHEBI:146930
G06142UM	CHEBI:146933
G06148DR	CHEBI:146935
G06162IF	CHEBI:146937
G06171TF	CHEBI:146939
G06171TU	CHEBI:146941
G06172PE	CHEBI:146943
G06172YF	CHEBI:146945
G06191GU	CHEBI:146947
G06206UV	CHEBI:146951
G06209KS	CHEBI:146953
G06210XB	CHEBI:90065
G06215DG	CHEBI:146954
G06216UH	CHEBI:146957
G06239NA	CHEBI:61758
G06240OP	CHEBI:146960
G06250ZP	CHEBI:146962
G06282FB	CHEBI:85873
G06290ZS	CHEBI:146964
G06291OS	CHEBI:146966
G06301TU	CHEBI:146967
G06341YK	CHEBI:146970
G06353XM	CHEBI:146972
G06371NP	CHEBI:146973
G06374RJ	CHEBI:146976
G06400QJ	CHEBI:146977
G06404ZJ	CHEBI:146979
G06408QU	CHEBI:157151
G06410KH	CHEBI:146982
G06414UP	CHEBI:146984
G06419VB	CHEBI:146986
G06435EU	CHEBI:146990
G06435TQ	CHEBI:146991
G06437BU	CHEBI:146994
G06444QV	CHEBI:146996
G06460LD	CHEBI:146998
G06483KZ	CHEBI:147000
G06511XS	CHEBI:195317
G06523WI	CHEBI:147001
G06525SB	CHEBI:147003
G06550JR	CHEBI:147005
G06557IC	CHEBI:147007
G06564PT	CHEBI:147010
G06564PZ	CHEBI:61742
G06564PZ	CHEBI:62359
G06568GE	CHEBI:147011
G06580KR	CHEBI:232703
G06580KR	CHEBI:59487
G06581HO	CHEBI:147013
G06583IY	CHEBI:147015
G06594DV	CHEBI:157554
G06595MR	CHEBI:147017
G06597DS	CHEBI:147019
G06615BG	CHEBI:156927
G06624ZC	CHEBI:147021
G06635WE	CHEBI:147023
G06650TB	CHEBI:147026
G06663AZ	CHEBI:147028
G06676BQ	CHEBI:147029
G06698DE	CHEBI:147031
G06710OE	CHEBI:147034
G06721LM	CHEBI:147036
G06731AE	CHEBI:147037
G06768XI	CHEBI:147040
G06772YH	CHEBI:157113
G06778YR	CHEBI:147042
G06786CI	CHEBI:147044
G06804FL	CHEBI:147046
G06810UA	CHEBI:147047
G06811VQ	CHEBI:147050
G06850AE	CHEBI:147055
G06850UL	CHEBI:147058
G06851NM	CHEBI:147059
G06851TU	CHEBI:147062
G06862BZ	CHEBI:147063
G06873PC	CHEBI:233965
G06873PC	CHEBI:68474
G06881DK	CHEBI:147065
G06898ZN	CHEBI:172920
G06910AO	CHEBI:147068
G06912LX	CHEBI:147069
G06920GM	CHEBI:147071
G06931TP	CHEBI:147074
G06953DR	CHEBI:157265
G06969ZX	CHEBI:147076
G06971VR	CHEBI:147077
G06996VN	CHEBI:40896
G07006BT	CHEBI:62346
G07014AW	CHEBI:147079
G07017AJ	CHEBI:181906
G07020WN	CHEBI:147081
G07059FD	CHEBI:147084
G07061BV	CHEBI:147086
G07075ZE	CHEBI:147088
G07085NZ	CHEBI:147090
G07095PT	CHEBI:28554
G07098TP	CHEBI:147092
G07136WT	CHEBI:147094
G07141SK	CHEBI:147096
G07145VL	CHEBI:147097
G07147QM	CHEBI:147099
G07162IJ	CHEBI:157191
G07164WO	CHEBI:147102
G07169PS	CHEBI:147104
G07191NE	CHEBI:157015
G07195XP	CHEBI:147106
G07209HW	CHEBI:147108
G07226AQ	CHEBI:147110
G07228BR	CHEBI:147112
G07245OG	CHEBI:147114
G07262RR	CHEBI:147116
G07265MJ	CHEBI:147118
G07286WG	CHEBI:147120
G07292LK	CHEBI:147122
G07293JT	CHEBI:147124
G07301IS	CHEBI:147126
G07322RE	CHEBI:147129
G07328EF	CHEBI:147130
G07337US	CHEBI:157491
G07348OG	CHEBI:28191
G07352BK	CHEBI:147132
G07357YR	CHEBI:68582
G07368IA	CHEBI:147134
G07375KG	CHEBI:147136
G07376BS	CHEBI:147138
G07380TS	CHEBI:147141
G07392QY	CHEBI:147142
G07394RV	CHEBI:147145
G07397MN	CHEBI:71276
G07410AW	CHEBI:147146
G07430HH	CHEBI:147149
G07438VB	CHEBI:147151
G07443RM	CHEBI:147152
G07445YJ	CHEBI:147154
G07467EB	CHEBI:147157
G07476BB	CHEBI:147159
G07483YN	CHEBI:147161
G07489IL	CHEBI:147163
G07490EK	CHEBI:53451
G07505DF	CHEBI:147165
G07528DS	CHEBI:147167
G07532ZA	CHEBI:147168
G07533UM	CHEBI:147170
