GlyTouCanAccession	Image-Size	Image-Notation	Image-Style	Image-Format
G00580XP	2574	snfg	extended	png
G00580XP	10993	snfg	extended	svg
G00582VL	4189	snfg	extended	png
G00582VL	18102	snfg	extended	svg
G00584KG	4712	snfg	extended	png
G00584KG	19453	snfg	extended	svg
G00584LL	6582	snfg	extended	png
G00584LL	29610	snfg	extended	svg
G00586CV	4233	snfg	extended	png
G00586CV	21383	snfg	extended	svg
G00586TU	4242	snfg	extended	png
G00586TU	20894	snfg	extended	svg
G00586UK	2061	snfg	extended	png
G00586UK	11137	snfg	extended	svg
G00588HO	3318	snfg	extended	png
G00588HO	21281	snfg	extended	svg
G00591PZ	4734	snfg	extended	png
G00591PZ	21243	snfg	extended	svg
G00594AV	7122	snfg	extended	png
G00594AV	29963	snfg	extended	svg
G00594CD	1983	snfg	extended	png
G00594CD	9285	snfg	extended	svg
G00595HP	1830	snfg	extended	png
G00595HP	7702	snfg	extended	svg
G00598SQ	5083	snfg	extended	png
G00598SQ	19704	snfg	extended	svg
G00601UG	2886	snfg	extended	png
G00601UG	14324	snfg	extended	svg
G00601VC	2245	snfg	extended	png
G00601VC	10987	snfg	extended	svg
G00606LX	8491	snfg	extended	png
G00606LX	31095	snfg	extended	svg
G00608BN	1540	snfg	extended	png
G00608BN	5957	snfg	extended	svg
G00610TG	1261	snfg	extended	png
G00610TG	7713	snfg	extended	svg
G00615MZ	1855	snfg	extended	png
G00615MZ	7711	snfg	extended	svg
G00618HB	3559	snfg	extended	png
G00618HB	16236	snfg	extended	svg
G00619DD	1646	snfg	extended	png
G00619DD	5991	snfg	extended	svg
G00623OI	3680	snfg	extended	png
G00623OI	16048	snfg	extended	svg
G00627DR	1150	snfg	extended	png
G00627DR	4689	snfg	extended	svg
G00628MV	1923	snfg	extended	png
G00628MV	7605	snfg	extended	svg
G00629YK	3516	snfg	extended	png
G00629YK	14635	snfg	extended	svg
G00631XZ	2001	snfg	extended	png
G00631XZ	9283	snfg	extended	svg
G00633GI	4157	snfg	extended	png
G00633GI	17727	snfg	extended	svg
G00633PX	4570	snfg	extended	png
G00633PX	25804	snfg	extended	svg
G00636QL	3001	snfg	extended	png
G00636QL	16340	snfg	extended	svg
G00641XC	1452	snfg	extended	png
G00641XC	7607	snfg	extended	svg
G00644ZZ	4155	snfg	extended	png
G00644ZZ	21333	snfg	extended	svg
G00646SN	4987	snfg	extended	png
G00646SN	24086	snfg	extended	svg
G00647HI	6366	snfg	extended	png
G00647HI	26311	snfg	extended	svg
G00647RA	2800	snfg	extended	png
G00647RA	12669	snfg	extended	svg
G00650AC	4461	snfg	extended	png
G00650AC	21095	snfg	extended	svg
G00652BK	4517	snfg	extended	png
G00652BK	22677	snfg	extended	svg
G00653TI	2533	snfg	extended	png
G00653TI	13852	snfg	extended	svg
