GlyTouCan AC	Tissue	Species	AnnotationCategory	Source	Source ID
G37626QS	UBERON:0001155	Human	Subsumption	GNOme	G94737YG
G37626QS	UBERON:0002048	Human	Subsumption	GNOme	G94737YG
G37626QS	UBERON:0002106	Human	Subsumption	GNOme	G94737YG
G37626QS	UBERON:0002107	Human	Subsumption	GNOme	G94737YG
G37626QS	UBERON:0002108	Human	Subsumption	GNOme	G94737YG
G37626QS	UBERON:0002419	Human	Subsumption	GNOme	G94737YG
G37626QS	UBERON:0000948	Mouse	Subsumption	GNOme	G94737YG
G37641EM	UBERON:0000165	Human	Direct	PubMed	37268159
G37641EM	UBERON:0000165	Human	Direct	TableMaker	GLY_001408
G37676GK	UBERON:0000160	ZebraFish	Subsumption	GNOme	G48209XU
G37676KD	UBERON:0001969	Human	Subsumption	GNOme	G25520XG
G37676KD	UBERON:0001977	Human	Subsumption	GNOme	G74325TG
G37676KD	UBERON:0000160	ZebraFish	Subsumption	GNOme	G74325TG
G37676KD	UBERON:0000948	ZebraFish	Subsumption	GNOme	G74325TG
G37676KD	UBERON:0002419	ZebraFish	Subsumption	GNOme	G74325TG
G37676KD	UBERON:0002535	ZebraFish	Subsumption	GNOme	G74325TG
G37688RR	UBERON:0000955	ZebraFish	Subsumption	GNOme	G40854XJ
G37692XE	UBERON:0000323	FruitFly	Direct	PubMed	17264077
G37692XE	UBERON:0000922	FruitFly	Direct	PubMed	17264077
G37692XE	UBERON:0019248	FruitFly	Direct	PubMed	17264077
G37692XE	UBERON:0000323	FruitFly	Direct	TableMaker	GLY_001253
G37692XE	UBERON:0000922	FruitFly	Direct	TableMaker	GLY_001253
G37692XE	UBERON:0019248	FruitFly	Direct	TableMaker	GLY_001253
G37692XE	UBERON:0001155	Human	Subsumption	GNOme	G59522PY
G37692XE	UBERON:0002048	Human	Subsumption	GNOme	G59522PY
G37692XE	UBERON:0002419	Human	Subsumption	GNOme	G59522PY
G37692XE	UBERON:0001155	Mouse	Subsumption	GNOme	G59522PY
G37692XE	UBERON:0002370	Mouse	Subsumption	GNOme	G59522PY
G37732RA	UBERON:0000160	ZebraFish	Subsumption	GNOme	G64973KT
G37732RA	UBERON:0000473	ZebraFish	Subsumption	GNOme	G64973KT
G37732RA	UBERON:0000948	ZebraFish	Subsumption	GNOme	G64973KT
G37746FK	UBERON:0001977	Human	Subsumption	GNOme	G01361CV
G37747UF	UBERON:0000992	ZebraFish	Subsumption	GNOme	G43252PG
G37752FV	UBERON:0000955	ZebraFish	Subsumption	GNOme	G40854XJ
G37752FV	UBERON:0000955	ZebraFish	Subsumption	GNOme	G79156QW
G37753PL	UBERON:0001969	Human	Subsumption	GNOme	G26518BW
G37753PL	UBERON:0002107	Human	Subsumption	GNOme	G66924DF
