GlyTouCanAccession	KEGGAccession
G65893EZ	G02229
G65984FE	G00468
G65799WV	G04016
G66512FS	G05112
G66427ZQ	G00071
G66375VY	G04834
G66655HQ	G04419
G66488GE	G04787
G66282NU	G10747
G66661ZY	G06348
G66184ZO	G02909
G66489LJ	G00336
G66932MV	G01327
G66723QO	G00053
G66665YI	G10725
G66741YQ	G00274
G67066JI	G05060
G66937TJ	G11022
G67342MA	G01089
G67362UI	G06347
G67536FA	G04594
G67608DN	G04057
G67642SS	G03680
G67574IL	G05284
G67220DU	G04958
G67410LQ	G04224
G67612NO	G04206
G67447FX	G05793
G67328UY	G10439
G68014YX	G07319
G68110IF	G00112
G68194UU	G04543
G67942CH	G11977
G67740CH	G05781
G67767BR	G04172
G67785RW	G05470
G68175NA	G04103
G67988RO	G00497
G67988RO	G10645
G67898UK	G02205
G67915MO	G00661
G68321OY	G06648
G68651MF	G02768
G68679LW	G02763
G68318SH	G00771
G68668TB	G10680
G68668TB	G12036
G68668TB	G12081
G68253RD	G01990
G68801RI	G06343
G68415EV	G04703
G69175BJ	G04973
G69083KH	G04375
G69121YI	G04077
G68983XG	G01905
G69360KJ	G00407
G68907ZA	G03980
G69187MR	G04212
G69480BN	G05837
G69964CA	G02700
G69485SE	G12008
G69799LR	G05221
G69725KG	G01064
G69985ZX	G04423
G69976JD	G03994
G69912LP	G10919
G69411IG	G10796
G69893KP	G00265
G69987TD	G00862
G70265CT	G00101
G70081QS	G11337
G70072FZ	G03729
G70236HL	G01421
G70073SG	G00666
