GlyTouCanAccession	Image-Size	Image-CRC	Image-Notation	Image-Style
G01079KY	4598	ca2605c0	cfg	extended
G01087FD	5812	e7b9ecd5	cfg	extended
G01100DE	6109	aebc4066	cfg	extended
G01103GR	933	034c3228	cfg	extended
G01107YB	4828	f11ce9e6	cfg	extended
G01120GS	5229	e6aa4fe4	cfg	extended
G01128ZO	832	070b271a	cfg	extended
G01130QM	4535	5c7046bc	cfg	extended
G01132FQ	1179	f9c67570	cfg	extended
G01132PT	2388	89d1cbbd	cfg	extended
G01134UQ	1999	745d92f7	cfg	extended
G01139KZ	1836	a789dacb	cfg	extended
G01141WK	1442	ebd048cc	cfg	extended
G01148IL	1360	f23f5b5c	cfg	extended
G01155JM	1310	aa4a6d81	cfg	extended
G01169EW	3046	8f37269f	cfg	extended
G01174QS	4216	fd4c405d	cfg	extended
G01178HS	4706	03a4294e	cfg	extended
G01179OJ	1727	a3af5cef	cfg	extended
G01180DW	1944	36fa1cc9	cfg	extended
G01180ZJ	6751	1ceb7257	cfg	extended
G01181WH	3243	2065afbf	cfg	extended
G01182BO	2035	1d00203b	cfg	extended
G01187XC	1357	cabf4c76	cfg	extended
G01188EJ	1601	79b394e3	cfg	extended
G01190ZZ	791	1cc0cd9b	cfg	extended
G01196CV	1296	ee9ddfca	cfg	extended
G01197SX	994	a9613955	cfg	extended
G01200BW	4438	0e47dcef	cfg	extended
G01202UA	4001	cba475c1	cfg	extended
G01203BZ	1677	309ee8b9	cfg	extended
G01208GZ	5827	4d598e2b	cfg	extended
G01216WS	1260	82e0e26c	cfg	extended
G01220PX	5372	8e91f7f4	cfg	extended
G01221DA	2740	cf65d4b2	cfg	extended
G01223AA	7104	f3a7a573	cfg	extended
G01231VF	5520	78c45e15	cfg	extended
G01232PN	1630	1fb38bd3	cfg	extended
G01237HZ	1852	9c273767	cfg	extended
G01243KR	2792	222e5d99	cfg	extended
G01244DB	4487	542ac37a	cfg	extended
G01245TU	1259	52fffc94	cfg	extended
G01254YI	1494	d9620f1f	cfg	extended
G01260KO	4522	6a7efa28	cfg	extended
G01260KW	1770	e82d7d0d	cfg	extended
G01260QV	2796	e9467df9	cfg	extended
G01260RY	3926	8e216f64	cfg	extended
G01268DU	2713	2edd02f0	cfg	extended
G01269WV	1740	e66a9e04	cfg	extended
G01281PQ	1992	b5cd4aac	cfg	extended
G01282UD	2421	e871ae17	cfg	extended
G01291QB	1519	f5a1b212	cfg	extended
G01294HQ	1206	cbb2d0ea	cfg	extended
G01296LJ	2201	19ad56c6	cfg	extended
G01298WH	3483	57261fed	cfg	extended
G01299ER	2210	f46a2a14	cfg	extended
G01300OI	2678	a133b133	cfg	extended
G01302LF	2262	bffbf032	cfg	extended
G01302YQ	946	e39f0db0	cfg	extended
G01303GF	2148	15c35b1d	cfg	extended
G01304XG	2382	0706adb0	cfg	extended
G01308XT	6127	8e697b95	cfg	extended
G01310VF	6602	1b3ed882	cfg	extended
G01316HN	1308	591c62af	cfg	extended
G01323LL	3592	fa1d5a3a	cfg	extended
G01325OU	4155	65b53fa5	cfg	extended
G01329EH	2047	ac8cfac8	cfg	extended
G01338AS	3482	7fcad33b	cfg	extended
G01342FO	4883	2b629775	cfg	extended
G01347XI	1149	12ca3efe	cfg	extended
G01351CD	1543	b41c8e42	cfg	extended
G01354KL	5092	4407669e	cfg	extended
