GlyTouCanAccession	GlyConnectAccession	GlyConnectAccessionType
G13910LY	2877	GlyConnectStructure
G14023ZV	2015	GlyConnectStructure
G14047PA	1277	GlyConnectStructure
G14050KB	1398	GlyConnectStructure
G14068WV	1339	GlyConnectStructure
G14110OQ	1076	GlyConnectComposition
G14110OQ	1076	GlyConnectComposition
G14127XU	2433	GlyConnectStructure
G14199EY	3127	GlyConnectStructure
G14224WX	1316	GlyConnectStructure
G14227RA	2944	GlyConnectStructure
G14260UH	551	GlyConnectComposition
G14260UH	551	GlyConnectComposition
G14296HB	1744	GlyConnectStructure
G14367JE	415	GlyConnectStructure
G14380OJ	778	GlyConnectStructure
G14389GM	1193	GlyConnectStructure
G14456RI	133	GlyConnectComposition
G14456RI	133	GlyConnectComposition
G14561VC	3549	GlyConnectStructure
G14572XX	2391	GlyConnectStructure
G14669DU	507	GlyConnectComposition
G14693JJ	2328	GlyConnectStructure
G14696LD	1664	GlyConnectStructure
G14696LD	5664	GlyConnectStructure
G14767DF	233	GlyConnectStructure
G14796IU	405	GlyConnectComposition
G14796IU	405	GlyConnectComposition
G14889BN	852	GlyConnectComposition
G14889BN	852	GlyConnectComposition
G14889WU	1224	GlyConnectStructure
G14950CY	909	GlyConnectStructure
G14994KB	173	GlyConnectComposition
G14994KB	173	GlyConnectComposition
G14996IQ	965	GlyConnectStructure
G14998UC	902	GlyConnectStructure
G15013TW	3272	GlyConnectStructure
G15016TE	1932	GlyConnectStructure
G15021LG	534	GlyConnectStructure
G15021LG	8851	GlyConnectStructure
G15065YV	997	GlyConnectStructure
G15158DC	1164	GlyConnectStructure
G15158LV	3299	GlyConnectStructure
G15169WU	627	GlyConnectComposition
G15169WU	627	GlyConnectComposition
G15173TI	1362	GlyConnectStructure
G15198VK	1394	GlyConnectStructure
G15363AF	926	GlyConnectComposition
G15363AF	926	GlyConnectComposition
G15393WU	1411	GlyConnectStructure
G15407YE	1240	GlyConnectStructure
G15433HJ	1842	GlyConnectStructure
G15488CF	70	GlyConnectComposition
G15488CF	70	GlyConnectComposition
G15508AW	938	GlyConnectComposition
G15508AW	938	GlyConnectComposition
G15531AF	63	GlyConnectComposition
G15555MR	3405	GlyConnectStructure
G15560RP	220	GlyConnectStructure
G15569GG	313	GlyConnectComposition
G15569GG	313	GlyConnectComposition
G15631KB	1423	GlyConnectStructure
G15631KB	213	GlyConnectStructure
G15683CN	20	GlyConnectStructure
G15703MZ	1669	GlyConnectStructure
G15714MJ	2131	GlyConnectStructure
G15757MR	533	GlyConnectStructure
G15825OT	1315	GlyConnectStructure
G15828HX	2802	GlyConnectStructure
G15859AU	2711	GlyConnectStructure
G15938BX	1317	GlyConnectStructure
G15945ON	746	GlyConnectStructure
G15956KF	2835	GlyConnectStructure
G15985WB	416	GlyConnectStructure
G16107MY	1726	GlyConnectStructure
G16117GO	2032	GlyConnectStructure
G16136DL	429	GlyConnectComposition
G16136DL	429	GlyConnectComposition
G16150CJ	3541	GlyConnectStructure
G16155TD	214	GlyConnectStructure
G16208YZ	301	GlyConnectComposition
G16208YZ	301	GlyConnectComposition
G16233TX	139	GlyConnectStructure
G16265MV	2395	GlyConnectStructure
G16265OF	233	GlyConnectComposition
G16265OF	233	GlyConnectComposition
G16276PY	1119	GlyConnectStructure
G16341ZC	1323	GlyConnectStructure
G16370GQ	941	GlyConnectStructure
G16389EC	1826	GlyConnectStructure
G16389EC	3275	GlyConnectStructure
G16529MG	992	GlyConnectStructure
G16536EO	1749	GlyConnectStructure
G16546ZZ	228	GlyConnectStructure
G16590BZ	2135	GlyConnectStructure
G16609LV	104	GlyConnectStructure
G16609LV	2612	GlyConnectStructure
G16641ZZ	2540	GlyConnectStructure
G16679DU	2452	GlyConnectStructure
G16696HU	2587	GlyConnectStructure
G16739XD	3403	GlyConnectStructure
G16739XK	1042	GlyConnectStructure
G16742CI	2925	GlyConnectStructure
G16774YZ	770	GlyConnectStructure
G16828VN	70	GlyConnectStructure
G16831PL	2512	GlyConnectStructure
G16873YG	401	GlyConnectStructure
G16932ML	641	GlyConnectStructure
G16933JU	3579	GlyConnectStructure
G16956YO	379	GlyConnectStructure
G17041QN	449	GlyConnectStructure
G17050CK	2016	GlyConnectStructure
G17095DP	369	GlyConnectStructure
G17126MK	3133	GlyConnectStructure
G17155VX	1227	GlyConnectStructure
G17168RO	1482	GlyConnectStructure
G17199HN	1648	GlyConnectStructure
G17205DU	971	GlyConnectStructure
G17236TT	3188	GlyConnectStructure
G17269LY	1477	GlyConnectStructure
G17276XO	241	GlyConnectComposition
G17276XO	241	GlyConnectComposition
G17280PS	1258	GlyConnectStructure
G17336WC	1690	GlyConnectStructure
G17339LD	2209	GlyConnectStructure
G17409FQ	2497	GlyConnectStructure
G17410PS	1358	GlyConnectStructure
G17413FR	2459	GlyConnectStructure
G17413FR	3314	GlyConnectStructure
G17433EW	1835	GlyConnectStructure
G17473NR	2866	GlyConnectStructure
G17540HT	664	GlyConnectStructure
G17667YX	1914	GlyConnectStructure
G17673XH	241	GlyConnectStructure
G17689DH	1077	GlyConnectStructure
G17689EW	3561	GlyConnectStructure
G17709UI	2292	GlyConnectStructure
G17751ZM	3195	GlyConnectStructure
G17752YB	319	GlyConnectStructure
G17756LB	255	GlyConnectComposition
G17791VR	3101	GlyConnectStructure
G17804IQ	1500	GlyConnectStructure
G17810KS	1337	GlyConnectStructure
G17827EU	1385	GlyConnectStructure
G17893UF	3503	GlyConnectStructure
G17908GP	1804	GlyConnectStructure
G18022IK	670	GlyConnectComposition
G18022IK	670	GlyConnectComposition
G18117YG	125	GlyConnectStructure
G18166BF	1430	GlyConnectStructure
G18183SM	993	GlyConnectComposition
G18188WJ	3665	GlyConnectStructure
G18214MO	2674	GlyConnectStructure
G18219CJ	989	GlyConnectStructure
G18220BL	2744	GlyConnectStructure
G18315LD	911	GlyConnectStructure
G18362VR	252	GlyConnectStructure
G18414FL	3663	GlyConnectStructure
G18438YA	1640	GlyConnectStructure
G18447KU	843	GlyConnectStructure
G18472TI	625	GlyConnectStructure
G18516QW	3083	GlyConnectStructure
G18519LX	2895	GlyConnectStructure
G18544DI	3336	GlyConnectStructure
G18574CV	1513	GlyConnectStructure
G18589KA	1081	GlyConnectComposition
G18589KA	1081	GlyConnectComposition
G18590ZR	1060	GlyConnectComposition
G18590ZR	1060	GlyConnectComposition
G18603ZQ	322	GlyConnectStructure
G18618EA	521	GlyConnectComposition
G18618EA	521	GlyConnectComposition
G18627LZ	309	GlyConnectStructure
G18636VE	2756	GlyConnectStructure
G18638YB	638	GlyConnectStructure
G18639PA	218	GlyConnectComposition
G18639PA	218	GlyConnectComposition
G18641IV	2851	GlyConnectStructure
G18695QD	3325	GlyConnectStructure
G18804KX	1072	GlyConnectComposition
G18804KX	1072	GlyConnectComposition
G18841NY	595	GlyConnectStructure
G18853HA	1550	GlyConnectStructure
G18853HA	215	GlyConnectStructure
G18878GO	163	GlyConnectComposition
G18878GO	163	GlyConnectComposition
G18929GK	1265	GlyConnectStructure
G18938DW	443	GlyConnectStructure
G18938PT	1064	GlyConnectComposition
G18938PT	1064	GlyConnectComposition
G18946TX	2617	GlyConnectStructure
G18947DS	1589	GlyConnectStructure
G18948TG	1602	GlyConnectStructure
G18948TG	2203	GlyConnectStructure
G18963DQ	2147	GlyConnectStructure
G19017MP	3242	GlyConnectStructure
G19023UQ	3230	GlyConnectStructure
G19075PM	472	GlyConnectStructure
G19116TW	410	GlyConnectComposition
G19116TW	410	GlyConnectComposition
G19138OU	128	GlyConnectStructure
G19252ZI	3286	GlyConnectStructure
G19275UG	184	GlyConnectComposition
G19275UG	184	GlyConnectComposition
G19354PF	234	GlyConnectStructure
G19359HX	966	GlyConnectComposition
G19359HX	966	GlyConnectComposition
G19385TO	1001	GlyConnectComposition
G19385TO	1001	GlyConnectComposition
