GlyTouCan AC	Species Name	AnnotationCategory	Source	Source ID	tax_id
G79986LV	Human	Subsumption	GNOme	G72282QM	
G79989JJ	Human	Subsumption	GNOme	G00413UF	
G79989JJ	Human	Subsumption	GNOme	G16155TD	
G79989JJ	Human	Subsumption	GNOme	G66282NU	
G79989JJ	Human	Subsumption	GNOme	G75120WS	
G79991RJ	Human	Subsumption	GNOme	G42154JB	
G79991RJ	Human	Subsumption	GNOme	G65909WP	
G79996DQ	Human	Direct	GlyTouCan	G79996DQ	9606
G80012SO	Human	Subsumption	GNOme	G04048YA	
G80012SO	Human	Subsumption	GNOme	G05421KO	
G80012SO	Human	Subsumption	GNOme	G09319JK	
G80012SO	Human	Subsumption	GNOme	G11453BM	
G80012SO	Human	Subsumption	GNOme	G11829TU	
G80012SO	Human	Subsumption	GNOme	G13269QI	
G80012SO	Human	Subsumption	GNOme	G14296HB	
G80012SO	Human	Subsumption	GNOme	G25432QA	
G80012SO	Human	Subsumption	GNOme	G30633FJ	
G80012SO	Human	Subsumption	GNOme	G39213VZ	
G80012SO	Human	Subsumption	GNOme	G39943KJ	
G80012SO	Human	Subsumption	GNOme	G42679AH	
G80012SO	Human	Subsumption	GNOme	G43804CX	
G80012SO	Human	Subsumption	GNOme	G44046WQ	
G80012SO	Human	Subsumption	GNOme	G50707YR	
G80012SO	Human	Subsumption	GNOme	G56175ED	
G80012SO	Human	Subsumption	GNOme	G61283FH	
G80012SO	Human	Subsumption	GNOme	G70308HL	
G80012SO	Human	Subsumption	GNOme	G72108VJ	
G80012SO	Human	Subsumption	GNOme	G78368CZ	
G80012SO	Human	Subsumption	GNOme	G84678BK	
G80012SO	Human	Subsumption	GNOme	G88876JQ	
G80012SO	Human	Subsumption	GNOme	G93310KW	
G80012SO	Human	Subsumption	GNOme	G96399PG	
G80012SO	Human	Subsumption	GNOme	G98140IX	
G80012SO	Mouse	Subsumption	GNOme	G30915AU	
G80012SO	Mouse	Subsumption	GNOme	G39213VZ	
G80012SO	Mouse	Subsumption	GNOme	G40900UQ	
G80012SO	Mouse	Subsumption	GNOme	G60149QJ	
G80012SO	Mouse	Subsumption	GNOme	G74916CC	
G80012SO	Mouse	Subsumption	GNOme	G84678BK	
G80012SO	Mouse	Subsumption	GNOme	G88876JQ	
G80012SO	Rat	Subsumption	GNOme	G30915AU	
G80012SO	Rat	Subsumption	GNOme	G39213VZ	
G80012SO	Rat	Subsumption	GNOme	G88876JQ	
G80016QG	Human	Subsumption	GNOme	G05212BT	
G80034HK	Human	Subsumption	GNOme	G02311IE	
G80034HK	Human	Subsumption	GNOme	G40194MN	
G80062GG	Human	Direct	GlyTouCan	G80062GG	9606
G80062GG	Mouse	Direct	GlyTouCan	G80062GG	10090
G80062GG	Rat	Direct	GlyTouCan	G80062GG	10114
G80066HR	Human	Subsumption	GNOme	G05180BW	
G80068SW	Human	Direct	GlyTouCan	G80068SW	9606
G80075MS	Human	Subsumption	GNOme	G11696PX	
G80075MS	Human	Subsumption	GNOme	G42504VW	
G80075MS	Human	Subsumption	GNOme	G65760UO	
G80082XW	Human	Subsumption	GNOme	G25492QI	
G80085JU	Human	Subsumption	GNOme	G81408RV	
G80088VB	Human	Subsumption	GNOme	G66995VS	
G80092LU	Human	Subsumption	GNOme	G64566OC	
G80098LK	Human	Subsumption	GNOme	G09376MR	
G80098LK	Human	Subsumption	GNOme	G73578JC	
G80098LK	Human	Subsumption	GNOme	G98335IX	
G80098LK	Rat	Subsumption	GNOme	G09376MR	
G80102MT	Human	Subsumption	GNOme	G30207PZ	
G80102MT	Mouse	Subsumption	GNOme	G30207PZ	
G80102MT	Rat	Subsumption	GNOme	G30207PZ	
G80105XT	Human	Subsumption	GNOme	G03146JP	
G80105XT	Human	Subsumption	GNOme	G81303NJ	
G80105XT	Human	Subsumption	GNOme	G95151JF	
G80111QD	Human	Direct	GlyConnect	2915	9606
G80111QD	Human	Direct	UniCarbKB	651	9606
G80111QD	Mouse	Subsumption	GNOme	G01614ZM	
G80111QD	Mouse	Subsumption	GNOme	G86130AV	
G80111QD	Rat	Subsumption	GNOme	G01614ZM	
G80111QD	Rat	Subsumption	GNOme	G39558MO	
G80111QD	Rat	Subsumption	GNOme	G62274IX	
G80113OB	Human	Subsumption	GNOme	G49168NM	
G80113OB	Human	Subsumption	GNOme	G77198CF	
G80123ZU	Human	Direct	GlyConnect	2560	9606
G80123ZU	Mouse	Subsumption	GNOme	G14047PA	
G80123ZU	Rat	Subsumption	GNOme	G51793MY	
G80126GC	Human	Direct	GlyTouCan	G80126GC	9606
G80126GC	Rat	Direct	GlyTouCan	G80126GC	10114
G80130HV	Human	Subsumption	GNOme	G10112QT	
G80130HV	Human	Subsumption	GNOme	G50123ZO	
G80130IB	Human	Subsumption	GNOme	G81345OW	
